Name,Partei,Wahlart,Bundesland,Wahlkreis,Wahlkreis-Nr.,Ausschuesse,Biografie,Twitter,Ausschusspositionen,Geburtsjahr
"Freitag, Dagmar",SPD,Direkt gewählt,Nordrhein-Westfalen,Märkischer Kreis II,150,"{'Vorsitzende': ['Sportausschuss'], 'Ordentliches Mitglied': ['Sportausschuss', 'Auswärtiger Ausschuss'], 'Stellvertretendes Mitglied': ['Unterausschuss Auswärtige Kultur- und Bildungspolitik'], 'Ordentliches Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung der NATO (North Atlantic Treaty Organization)', 'Interparlamentarische Union'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Parlamentariergruppe USA']}","Geboren am 3. März 1953 in Letmathe.1972 Abitur; Lehramtsstudium (Anglistik, Sportwissenschaften) in Bochum; Referendarzeit in Gelsenkirchen-Buer.1980 bis 1992 Realschullehrerin in Schwerte, 1992 bis 1994 an der Gesamtschule Schwerte tätig.Mitglied der AWO, diverser Sportvereine, diverser Fördervereine, des Tierschutzvereins Iserlohn und des Deutschen Tierschutzbundes; 2001 bis 2017 Vizepräsidentin des Deutschen Leichtathletik-Verbandes.Seit 1975 Mitglied der SPD; 1989 bis 1999 Ratsmitglied und Vorsitzende des Sportausschusses der Stadt Iserlohn.Seit 1994 Mitglied des Bundestages, seit 2009 Vorsitzende des Sportausschusses und Mitglied des Auswärtigen Ausschusses; Seit 2014 stellvertretende außenpolitische Sprecherin der SPD-Bundestagsfraktion; seit Mai 2018 stellvertretende Vorsitzende der Parlamentariergruppe USA.",DagmarFreitag13,"['Sportausschuss', 'Auswärtiger Ausschuss', 'Unterausschuss Auswärtige Kultur- und Bildungspolitik', 'Sportausschuss']",1953
"Freudenstein, Dr. Astrid",CDU/CSU,Gewählt über Landesliste,Bayern,,,"{'Ordentliches Mitglied': ['Ausschuss für Arbeit und Soziales'], 'Stellvertretendes Mitglied': ['Ausschuss für Tourismus', 'Ausschuss für Gesundheit']}","Geboren am 9. Oktober 1973 in Bad Griesbach im Rottal; römisch-katholisch; verheiratet; ein Kind.1992 Abitur am Wilhelm-Diess-Gymnasium Pocking.1992 bis 1993 Volontariat bei unser Radio Passau; 1994 bis 1998 Studienbegleitendes Volontariat bei der Passauer Neuen Presse; 1998 bis 2010 beim Bayerischen Rundfunk/Hörfunk; 2010 bis 2013 Wissenschaftliche Mitarbeiterin und Akademische Rätin an der Universität Passau/Lehrstuhl für Medienwissenschaft; 2018 bis 2019 Leiterin der Zentralabteilung im Bundesministerium für Verkehr und digitale Infrastruktur.2004 Eintritt in die CSU; 2013 bis 2017 Mitglied des Bundestages; 2014 bis 2017 Vorsitzende der Deutsch-Kroatischen Parlamentariergruppe.Dr. Astrid Freudenstein, CDU/CSU hat am 2. Juli 2019 für die ausgeschiedene Abgeordnete Marlene Mortler, CDU/CSU die Mitgliedschaft im Deutschen Bundestag erworben.",diefreudenstein,"['Ausschuss für Arbeit und Soziales', 'Ausschuss für Tourismus', 'Ausschuss für Gesundheit']",1973
"Fricke, Otto",FDP,Gewählt über Landesliste,Nordrhein-Westfalen,Krefeld I – Neuss II,110,"{'Ordentliches Mitglied': ['Haushaltsausschuss', 'Bundesfinanzierungsgremium'], 'Stellvertretendes Mitglied': ['Wahlausschuss', 'Ausschuss für Kultur und Medien'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Parlamentariergruppe BENELUX']}","        Geboren am 21. November 1965 in Krefeld; evangelisch; verheiratet; drei Kinder.
        1985 Abitur; 15 Monate Bundeswehr in Deutschland und den Niederlanden; ab 1986 Studium der Rechtswissenschaften an der Albert-Ludwigs-Universität in Freiburg; 1992 erstes juristisches Staatsexamen; 1995 zweites Staatsexamen in Düsseldorf.Seither Tätigkeit als Rechtsanwalt in Krefeld-Uerdingen.Bis 2002 parlamentarischer Berater der FDP-Bundestagsfraktion in Bonn und Berlin; 2002 bis 2013 Mitglied des Deutschen Bundestages; 2005 bis 2009 Vorsitzender des Haushaltsausschusses; 2009 bis 2013 Parlamentarischer Geschäftsführer und haushaltspolitischer Sprecher der FDP-Bundestagsfraktion; 2014 bis zum Beginn der 19. Wahlperiode des Deutschen Bundestages Partner der internationalen Unternehmensberatung CNC AG.Vertreter im Gremium nach § 3 des Bundesschuldenwesengesetzes (Bundesfinanzierungsgremium), Vertreter im Gremium nach § 3 Absatz 3 des Stabilisierungsmechanismusgesetzes (Sondergremium).",Otto_Fricke,"['Haushaltsausschuss', 'Bundesfinanzierungsgremium', 'Wahlausschuss', 'Ausschuss für Kultur und Medien']",1965
"Friedhoff, Dietmar",AfD,Gewählt über Landesliste,Niedersachsen,Hannover-Land I,43,"{'Obmann': ['Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung'], 'Ordentliches Mitglied': ['Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung'], 'Stellvertretendes Mitglied': ['Vermittlungsausschuss', 'Verteidigungsausschuss', '1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)'], 'Stellvertretendes Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung der OSZE'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Ägyptische Parlamentariergruppe', 'Parlamentariergruppe Zentralafrika', 'Parlamentariergruppe Westafrika']}","        Geboren am 18. Juni 1966 in Hagen; evangelisch; geschieden; zwei Kinder.
        Ausbildung zum Funkelektroniker; Fachhochschulreife;Wehrdienst bei der Fallschirmjägertruppe, aktiver Reservist bei Pz. Brg 21, Oberstleutnant d. R.;Weitere Ausbildungen und Zertifizierungen zum Gebäudesystemdesigner, Psychologischer Berater und Coach (SIC Coach uva.), Vertriebstrainer; Beruflich aktiv im Vertrieb als Key Account Manager und Vertriebsleiter, seit 10 Jahren Vertriebstrainer, seit 2010 Vertriebstrainer in einem großen bedeutenden deutschen Unternehmen;Eintritt in die AfD März 2013, keine Partei davor; stellvertretender Kreisvorsitzender AfD Hannover Land, Beisitzer im Stadtverband Neustadt am Rübenberge, Bundesdelegierter der AfD und Konventmitglied, Mitglied des Stadtrates der Stadt Neustadt am Rübenberge und stellvertretender Fraktionsvorsitzender, diverse Ausschüsse wie Feuerwehr und Ordnung, Integration, Verwaltungsreform und Jugendarbeitslosigkeit etc.",friedhoff_afd,"['Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung', 'Vermittlungsausschuss', 'Verteidigungsausschuss', '1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)', 'Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung']",1966
"Friedrich (Hof), Dr. Hans-Peter",CDU/CSU,Direkt gewählt,Bayern,Hof,239,{'Vizepräsident des Deutschen Bundestages': []},"Geboren am 10. März 1957 in Naila; evangelisch-lutherisch; verheiratet; drei Kinder.Abitur am Gymnasium in Naila. 15 Monate Wehrdienst. Studium der Rechtswissenschaften in München und Augsburg, 1986 2. juristisches Staatsexamen, Promotion zum Dr. jur.; Studium der Wirtschaftswissenschaften in Augsburg, 1986 Vordiplom für Diplom-Ökonomen; anschließend Studium der Volkswirtschaftslehre an der Fernuniversität Hagen.1988 Regierungsrat im Bundesministerium für Wirtschaft, zuletzt Ministerialrat; 1991 Mitarbeiter der CDU/CSU-Bundestagsfraktion, Referent der CSU-Landesgruppe im Arbeitskreis Wirtschaft, Verkehr, Landwirtschaft, 1993 persönlicher Referent des damaligen Vorsitzenden der CSU-Landesgruppe Michael Glos.Seit 1974 Mitglied der CSU, seit 1998 Vorsitzender der Bundeswahlkreiskonferenz im Bundeswahlkreis Hof/Wunsiedel; seit 1999 stellvertretender Bezirksvorsitzender der CSU Oberfranken, seit Juli 2011 Bezirksvorsitzender der CSU Oberfranken.Seit 1998 Mitglied des Bundestages, 2005 bis 2009 als stellvertretender Vorsitzender der CDU/ CSU-Bundestagsfraktion zuständig für die Bereiche ""Verkehr, Bau, Stadtentwicklung, Tourismus, Kommunalpolitik"".Von September 2009 bis März 2011 Vorsitzender der CSU-Landesgruppe im Deutschen Bundestag.2011 bis 2013 Bundesminister des Innern, Dezember 2013 bis Februar 2014 Bundesminister für Ernährung und Landwirtschaft, Februar 2014 bis Oktober 2017 stellvertretender Vorsitzender der CDU/CSU-Fraktion im Deutschen Bundestag.Seit Oktober 2017 Vizepräsident des Deutschen Bundestages.",HPFriedrichCSU,[],1957
"Friesen, Dr. Anton",AfD,Gewählt über Landesliste,Thüringen,,,"{'Obmann': ['Unterausschuss Vereinte Nationen, internationale Organisationen und Globalisierung'], 'Ordentliches Mitglied': ['Unterausschuss Vereinte Nationen, internationale Organisationen und Globalisierung', 'Auswärtiger Ausschuss'], 'Stellvertretendes Mitglied': ['Ausschuss für Menschenrechte und humanitäre Hilfe'], 'Stellvertretendes Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung der NATO (North Atlantic Treaty Organization)'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Ukrainische Parlamentariergruppe']}","        Geboren am 15. Juni 1985 in Uspenska, Kasachstan; römisch-katholisch; ledig.
        2006 Abitur in Nordrhein-Westfalen (Paderborn); 2006 bis 2009 Studium der Politikwissenschaft (Bachelor) an der Freien Universität Berlin; 2009 bis 2011 Studium der Politikwissenschaft (Master) an der Freien Universität Berlin; 2010 bis 2011 Auslandsaufenthalte in Finnland (Auslandssemester) und der Ukraine (Praktikum); 2012 bis 2015 Promotion an der Freien Universität Berlin (Politikwissenschaft).2009 wissenschaftliche Hilfskraft bei der Deutschen Gesellschaft für Auswärtige Politik, Berlin; 2011 wissenschaftliche Hilfskraft beim Auslandsbüro Ukraine der Konrad-Adenauer-Stiftung, Kiew; 2013 bis 2015 Leiter der Integrationsagentur beim Integration-Kulturzentrum e.V., Kreis Mettmann; 2015 bis 2017 Referent für innere Sicherheit, Migration und Kommunalpolitik bei der AfD-Fraktion im Thüringer Landtag.Ehrenamtliches Engagement bei Monolith e.V. (Paderborn), 2007 bis 2013; Most-Brücke von Berlin nach Mittel- und Osteuropa e.V., 2006 bis 2009.Seit März 2013 Mitglied der Alternative für Deutschland; 2016 bis 2017 Beisitzer im Vorstand der Jungen Alternative Thüringen; 2017 bis 2019 Vorsitzender der Jungen Alternative Thüringen; seit Juni 2018 Mitglied in Vertriebene, Aussiedler und deutsche Minderheiten in der AfD e.V. und Christen in der AfD.",DrFriesenMdB,"['Unterausschuss Vereinte Nationen, internationale Organisationen und Globalisierung', 'Auswärtiger Ausschuss', 'Ausschuss für Menschenrechte und humanitäre Hilfe', 'Unterausschuss Vereinte Nationen, internationale Organisationen und Globalisierung']",1985
"Frieser, Michael",CDU/CSU,Direkt gewählt,Bayern,Nürnberg-Süd,245,"{'Ordentliches Mitglied': ['Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung', '2. Untersuchungsausschuss', 'Ausschuss für Kultur und Medien', 'Wahlprüfungsausschuss'], 'Stellvertretendes Mitglied': ['Wahlausschuss']}","        Geboren am 30. März 1964 in Nürnberg; römisch-katholisch; verheiratet.
        1984 Abitur am Willstätter Gymnasium; Studium der Rechtswissenschaften an der Friedrich-Alexander-Universität Erlangen-Nürnberg; 1990 erstes, 1994 zweites Staatsexamen.1993 Mitarbeiter Siemens-Zentrale Nordamerika Legal Department - New York, USA; seit 1994 Rechtsanwalt (für Gesellschafts- und Wirtschaftsrecht); 1996 bis 2009 Syndikusanwalt; 2002 bis 2016 Geschäftsführer.Vizepräsident des Deutschen Kniggebundes e.V., Nürnberg; Vizepräsident im Verband Deutscher Konzertchöre Landesverband Bayern; ehrenamtlicher Vorsitzender des Stiftungsrates der Hans und Dorothea Doleschel Stiftung; Gründungsvorstand der Fränkischen Gesellschaft für Kultur, Politik und Zeitgeschichte, Gründungsmitglied der Deutsch-Israelischen Gesellschaft Nürnberg-Mittelfranken.Seit 1980 Mitglied der CSU und der Jungen Union, 2009 bis 2018 stellvertretender Bezirksvorsitzender der CSU Nürnberg-Fürth-Schwabach und seit April 2018 Bezirksvorsitzender der CSU Nürnberg-Fürth-Schwabach; 1996 bis 2009 Stadtrat der Stadt Nürnberg; 2003 bis 2009 Fraktionsvorsitzender der CSU-Stadtratsfraktion Nürnberg; seit 2009 Mitglied des Deutschen Bundestages; 2013 bis 2017 innen- und rechtspolitischer Sprecher der CSU-Landesgruppe; 2014 bis 2015 stellvertretender Vorsitzender des 2. Untersuchungsausschusses; 2014 bis 2018 Demografiebeauftragter der CDU/CSU-Bundestagsfraktion; seit 2018 Justiziar der CDU/CSU- Bundestagsfraktion; stellvertretendes Mitglied in der Kommission des Ältestenrates für die Rechtsstellung der Abgeordneten und im Kunstbeirat.",MichaelFrieser,"['Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung', '2. Untersuchungsausschuss', 'Ausschuss für Kultur und Medien', 'Wahlprüfungsausschuss', 'Wahlausschuss']",1964
"Frömming, Dr. Götz",AfD,Gewählt über Landesliste,Berlin,,,"{'Obmann': ['Ausschuss für Bildung, Forschung und Technikfolgenabschätzung'], 'Ordentliches Mitglied': ['Vermittlungsausschuss', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Kuratorium der Bundeszentrale für politische Bildung'], 'Stellvertretendes Mitglied': ['Ausschuss für Kultur und Medien']}","Geboren am 30. August 1968 in Eutin; evangelisch.Studiendirektor, a.D., Studium der Germanistik und Geschichtswissenschaft, Erstes und Zweites Staatsexamen für das Lehramt an Gymnasien, Promotion in Germanistischer Mediävistik (Dr. phil.).Abitur am humanistischen Kronberg-Gymnasium in Aschaffenburg. Anschließend sechs Monate Wehrdienst und neun Monate Zivildienst beim Rettungsdienst (Roten Kreuz). Studium der Germanistik, Geschichtswissenschaft und Philosophie in Frankfurt a. M. und Berlin (Humboldt-Universität). Tutor und wissenschaftliche Hilfskraft am Lehrstuhl für Philosophie und Pädagogik der Humboldt-Universität. Erstes und Zweites Staatsexamen für das Lehramt an Gymnasien in Berlin. Referendariat in Berlin. Lehrer für Deutsch, Geschichte und Politik. Mehrjährige Tätigkeit als Fachlehrer und Mentor an der Schule Schloss Salem und an einem staatlichen Gymnasium bei Baden Baden. Ernennung zum Beamten auf Lebenszeit und Beförderung zum Studienrat 2005, zum Oberstudienrat 2010 und im Jahr darauf zum Studiendirektor. Nach der Rückkehr nach Berlin Oberstufenkoordinator am Diesterweg-Gymnasium (Berlin) und Fachbereichsleiter am Lessing-Gymnasium (Berlin). Promotion in Germanistischer Mediävistik 2012.Ehrenamtliche Tätigkeit beim Bund Naturschutz in Bayern e.V. und als Fachübungsleiter im Bayerischen Badmintonverband. 2012 Beginn der politischen Tätigkeit zunächst bei den Freien Wählern.Im April 2013 Teilnahme am Gründungsparteitag der Alternative für Deutschland. Mitarbeit beim Aufbau des Berliner Landesverbandes in leitenden Funktionen. Leitung des Redaktionsausschusses der Bundesprogrammkommission der AfD. Sprecher und Obmann der AfD-Bundestagsfraktion im Ausschuss für Bildung, Forschung und Technikfolgenabschätzung.Seit September 2019 Parlamentarischer Geschäftsführer der AfD-Bundestagsfraktion.",gtzfrmming,"['Vermittlungsausschuss', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Kuratorium der Bundeszentrale für politische Bildung', 'Ausschuss für Kultur und Medien', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung']",1968
"Frohnmaier, Markus",AfD,Gewählt über Landesliste,Baden-Württemberg,Böblingen,260,"{'Ordentliches Mitglied': ['Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung'], 'Stellvertretendes Mitglied': ['Ausschuss für Menschenrechte und humanitäre Hilfe'], 'Ordentliches Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung der OSZE'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Südosteuropäische Parlamentariergruppe']}","        Geboren am 25. Februar 1991 in Craiova; evangelisch; verheiratet; ein Kind.
        2001 bis 2006 Hauptschule Grafenau-Döffingen; 2006 bis 2008 Fachschule Werner-Siemens-Schule Stuttgart; 2008 bis 2011 Wirtschaftsgymnasium in Calw mit Erreichung der allgemeinen Hochschulreife; ab 2011 Studium der Rechtswissenschaften an der juristischen Fakultät der Eberhardt-Karls-Universität Tübingen.2015 bis 2016 Assistent der Stuttgarter AfD-Stadtratsfraktion; 2016 Pressesprecher von Dr. Frauke Petry; 2017 Pressesprecher von Dr. Alice Weidel.2013 bis 2017 Mitglied im AfD-Landesvorstand Baden-Württemberg; 2013 bis 2015 und 2016 bis 2017 Landesvorsitzender JA-Baden-Württemberg; seit 2015 Bundesvorsitzender JA Deutschland.Vizepräsident der Deutsch-Französischen Denkfabrik ""Forum Carolus"" und Fördermitglied bei DRF Luftrettung. ",frohnmaier_afd,"['Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung', 'Ausschuss für Menschenrechte und humanitäre Hilfe']",1991
"Fuchtel, Hans-Joachim",CDU/CSU,Direkt gewählt,Baden-Württemberg,Calw,280,{'Parlamentarischer Staatssekretär für Ernährung und Landwirtschaft': []},"Geboren am 13. Februar 1952 in Sulz am Neckar; evangelisch-lutherisch; vier Kinder.Grundschule in Eutingen im Gäu, Abitur in Nagold. Studium der Rechtswissenschaft und Wirtschaftswissenschaft an der Universität Tübingen, zweites juristisches Staatsexamen 1979 bis 1980.Höherer Verwaltungsdienst des Landes Baden-Württemberg, zuletzt Parlamentsrat, vom Landtag abgeordnet zur CDU-Landtagsfraktion als Parlamentarischer Berater des Fraktionsvorsitzenden Erwin Teufel. Seit 1992 Rechtsanwalt in Nagold. Seit der Berufung zum Parlamentarischen Staatssekretär ruht die Rechtsanwaltstätigkeit.1975 bis 1987 Stadtrat in Altensteig, mehrere Jahre 1. Bürgermeister-Stellvertreter.Mitglied des Bundestages seit 1987.Ehrenpräsident der THW-Bundesvereinigung Deutschlands e.V., Vorsitzender des Blasmusik-Kreisverbandes Calw, Mitglied des Vereins ""Freunde der Bauwagen Kreis Calw"", Mitglied Vorstand Internationales Forum Bad Liebenzell (ehrenamtlich).Von 2009 bis 2013 Parlamentarischer Staatssekretär bei der Bundesministerin für Arbeit und Soziales; seit November 2011 Beauftragter für die Deutsch-Griechische Versammlung.Dezember 2013 bis März 2018 Parlamentarischer Staatssekretär beim Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung, seit März 2018 Parlamentarischer Staatssekretär für Ernährung und Landwirtschaft.",fuchtel,[],1952
"Gabelmann, Sylvia",Die Linke,Gewählt über Landesliste,Nordrhein-Westfalen,Siegen-Wittgenstein,148,"{'Ordentliches Mitglied': ['Unterausschuss Globale Gesundheit', 'Ausschuss für Gesundheit'], 'Stellvertretendes Mitglied': ['Ausschuss für Ernährung und Landwirtschaft'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Parlamentariergruppe Portugal-Spanien']}","        Geboren am 7. September 1958 in Bad Homburg v. d. Höhe; konfessionslos; geschieden.
        1977 Abitur; 1979 Abschluss der Lehre als Apothekenhelferin; 1980 bis 1986 Studium der Pharmazie, 1986 Approbation als Apothekerin;1987 bis 2002 Tätigkeit als Apothekerin im In- und Ausland; 2002 bis 2009 Lebensmittelpunkt im Ausland;Mitglied bei ver.di, Naturfreunde, Coordination gegen Bayer Gefahren, Rosa Luxemburg Stiftung NRW;2011 bis 2012 Mitarbeiterin im Parlamentarischen Untersuchungsausschuss „Jülich“ für die Fraktion DIE LINKE. im Landtag NRW; seit 2013 wissenschaftliche Mitarbeiterin MdB Dr. Alexander Neu DIE LINKE.; Mitglied im Betriebsrat der MitarbeiterInnen der MdBs; Eintritt in die Partei DIE LINKE März 2008, 2009 bis 2012 Stellvertretende Landessprecherin DIE LINKE NRW, kontinuierlich Landes- und Bundesparteitagsdelegierte, mehrfach Mitglied des Präsidiums von Landes- und Bundesparteitagen und 2012 Bundeswahlfrau bei der Bundespräsidentenwahl;2011 bis 2014 Mitglied der Landschaftsversammlung Rheinland (Mandatsträgerin); Oktober 2014 bis Oktober 2015 Mitglied des erweiterten Landesvorstands DIE LINKE Hessen, seit Juni 2016 stellvertretende Landessprecherin DIE LINKE NRW; Delegierte für den Kongress der Europäischen Linken 2016.",,"['Unterausschuss Globale Gesundheit', 'Ausschuss für Gesundheit', 'Ausschuss für Ernährung und Landwirtschaft']",1958
"Gabriel, Sigmar",SPD  *,Direkt gewählt,Niedersachsen,Salzgitter – Wolfenbüttel,49,"{'Entgeltliche Tätigkeiten neben dem Mandat': [], 'Funktionen in Körperschaften und Anstalten des öffentlichen Rechts': [], 'Funktionen in Vereinen, Verbänden und Stiftungen': []}","Geboren am 12. September 1959 in Goslar; verheiratet, zwei Kinder.1975 Realschulabschluss, 1979 Abitur. Zeitsoldat für zwei Jahre. Studium der Germanistik, Politik und Soziologie an der Universität Göttingen, 1987 Erstes Staatsexamen für das Lehramt an Gymnasien (Deutsch, Gemeinschaftskunde), 1989 Zweites Staatsexamen.1981 bis 1990 Dozent in der Erwachsenenbildung.Mitgliedschaft bei der AWO, der IG Metall und der SJD-Die Falken. Träger des Niedersächsischen Verdienstordens.1977 Eintritt in die SPD, 1976 bis 1989 ehrenamtliche Jugendarbeit im SPD nahen Jugendverband der Falken; 2003 bis 2009 Vorsitzender des SPD-Bezirks Braunschweig, 1999 bis 2005 Mitglied im Bundesparteivorstand. 1987 bis 1998 Kreistagsabgeordneter im Landkreis Goslar, 1991 bis 1999 Ratsmitglied in der Stadt Goslar, 1990 bis 2005 Abgeordneter des Niedersächsischen Landtags, dort 1998 bis 1999 und 2003 bis 2005 Vorsitzender der SPD-Fraktion; 1999 bis 2003 Ministerpräsident des Landes Niedersachsen.Mitglied des Bundestages seit 2005; 22. November 2005 bis Oktober 2009 Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit, Dezember 2013 bis Januar 2017 Bundesminister für Wirtschaft und Energie; Januar 2017 bis März 2018 Bundesminister für Auswärtiges.Sigmar Gabriel hat auf seine Mitgliedschaft im 19. Deutschen Bundestag verzichtet und ist mit Ablauf des 3. November 2019 aus dem Deutschen Bundestag ausgeschieden. Nachfolger ist der Abgeordnete Markus Paschke, SPD* ausgeschieden",,[],1959
"Gädechens, Ingo",CDU/CSU,Direkt gewählt,Schleswig-Holstein,Ostholstein – Stormarn-Nord,9,"{'Obmann': ['1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)', 'Verteidigungsausschuss'], 'Ordentliches Mitglied': ['Unterausschuss zu Fragen der Europäischen Union', '1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)', 'Haushaltsausschuss', 'Verteidigungsausschuss'], 'Stellvertretendes Mitglied': ['Ausschuss für Tourismus', 'Petitionsausschuss'], 'Stellvertretendes Mitglied (sonstige Gremien)': ['Ostseeparlamentarierkonferenz - Baltic Sea Parliamentary Conference (BSPC)'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Russische Parlamentariergruppe']}","Geboren am 30. Juli 1960 in Lübeck, verheiratet, evangelisch-lutherisch.Realschulabschluss; 1977 Ausbildung bei der Handelsmarine, 1978 Soldat auf Zeit bei der Bundeswehr Teilstreitkraft Marine; 1984 bis 2015 Berufssoldat der Bundeswehr; Verwendung im Führungsdienst, Truppenfachlehrer, stellvertretender Dienststellenleiter und Dienststellenleiter der Marineortungsstellen Westermarkelsdorf und Staberhuk auf Fehmarn; Berufssoldat a. D.1988 Eintritt in die CDU; 1990 bis 2009 Vorsitzender des CDU-Ortsverbandes Fehmarn; 1991 bis 2003 stellvertretender Kreisvorsitzender; seit 2003 Kreisvorsitzender der CDU Ostholstein; seit 2004 Beisitzer im Landesvorstand CDU Schleswig-Holstein; 1990 bis 2009 Stadtvertreter der Stadt Fehmarn; 1990 bis 2003 Fraktionsvorsitzender; 1994 bis 2003 Stadtrat; 2003 bis 2008 Erster Stadtrat und stellvertretende Bürgermeister; 2005 bis 2013 Kreistagsabgeordneter im Kreis Ostholstein u.a. Erster Stellvertreter des Landrats.Mitglied MIT, KPV, Europa Union, CDA, Deutscher Bundeswehrverband, im Beirat des Deutschen Feuerwehrverbandes und im Landesbeirat des Technischen Hilfswerks Schleswig-Holstein; seit Oktober 2009 Mitglied des Bundestages; seit 2013 Obmann der CDU/CSU-Fraktion im Verteidigungsausschuss, Mitglied im Tourismusausschuss, stellvertretendes Mitglied im Petitionsausschuss, Mitglied der PV der NATO, stellvertretendes Mitglied der Ostseeparlamentarier-Konferenz. ",,"['Unterausschuss zu Fragen der Europäischen Union', '1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)', 'Haushaltsausschuss', 'Verteidigungsausschuss', 'Ausschuss für Tourismus', 'Petitionsausschuss', '1. Untersuchungsausschuss des Verteidigungsausschusses gemäß Artikel 45a Abs. 2 GG (Beraterverträge)', 'Verteidigungsausschuss']",1960
"Gastel, Matthias",Bündnis 90/Die Grünen,Gewählt über Landesliste,Baden-Württemberg,Nürtingen,262,"{'Ordentliches Mitglied': ['Ausschuss für Verkehr und digitale Infrastruktur'], 'Stellvertretendes Mitglied': ['Ausschuss für Tourismus', 'Ausschuss für Ernährung und Landwirtschaft']}","Geboren am 26. Dezember 1970 in Stuttgart; evangelisch-lutherisch.Realschule mit Abschluss Mittlere Reife; Berufsausbildung zum Groß- und Außenhandelskaufmann; Zivildienst in einem Kinderheim mit Sonderschule; einjähriges Berufskolleg zum Erwerb der Fachhochschulreife; Berufsausbildung zum Altenpflegehelfer; Studium der Sozialpädagogik (Abschluss als Diplom-Sozialpädagoge); Studium der Betriebswirtschaftslehre (Abschluss als Diplom-Kaufmann); Zertifikatslehrgang ""Wirtschaftsmediation (IHK)"".1990 kaufmännischer Angestellter als Sachbearbeiter im Verkauf; 1992 bis 1993 Erziehungshelfer in der stationären Jugendhilfe; 1996 bis 1998 persönlicher Mitarbeiter von zwei Landtagsabgeordneten in Baden-Württemberg; 1998 bis 2006 Diplom-Sozialpädagoge in der stationären Jugendhilfe und im Betreuten Jugendwohnen; 2006 bis 2012 selbstständiger Personaldienstleister; 2012 bis 2013 selbstständiger Wirtschaftsmediator und Praxislehrer für angehende Erzieherinnen und Erzieher.Ehrenämter: Leiter von Kinder-/Jugendgruppen und -freizeiten im Evangelischen Jugendwerk Plattenhardt und dem Evangelischen Jugendwerk Bezirk Bernhausen (1987 bis 2006), Landesvorstand Grüne Jugend (1990 bis 1993), Orts- und Kreisvorstand der Grünen (1990 bis 1994), Stadtrat (1994 bis Juli 2014), Kreisrat (1999 bis Juli 2014), Stiftungsratsvorsitzender der Bürgerstiftung Filderstadt (2004 bis 2013).Mitgliedschaften bei Bündnis 90/Die Grünen (seit 1989), Greenpeace, Verkehrsclub Deutschland (VCD), Schwäbischer Albverein, Verein zur Förderung der evangelischen Jugendarbeit Filderstadt, Waldkindergarten Wurzelzwerge e.V.. ",MatthiasGastel,"['Ausschuss für Verkehr und digitale Infrastruktur', 'Ausschuss für Tourismus', 'Ausschuss für Ernährung und Landwirtschaft']",1970
