last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Lindh,Helge,SPD,Nordrhein-Westfalen,Wuppertal I,102,helgelindh,Helge Lindh
Lindholz,Andrea,CDU/CSU,Bayern,Aschaffenburg,247,AndreaLindholz,Andrea Lindholz
Lindner,Christian,FDP,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,100,,Christian Lindner
Lindner,Dr. Tobias,Bündnis 90/Die Grünen,Rheinland-Pfalz,Südpfalz,211,tobiaslindner,Tobias Lindner
Link,Michael Georg,FDP,Baden-Württemberg,Heilbronn,267,michael_g_link,Michael Link
Linnemann,Dr. Carsten,CDU/CSU,Nordrhein-Westfalen,Paderborn – Gütersloh III,137,,Carsten Linnemann
Lips,Patricia,CDU/CSU,Hessen,Odenwald,187,,Patricia Lips
Lischka,Burkhard,SPD  *,Sachsen-Anhalt,,,,Burkhard Lischka
Löbel,Nikolas,CDU/CSU,Baden-Württemberg,Mannheim,275,NikolasLoebel,Nikolas Lobel
Lötzsch,Dr. Gesine,Die Linke,Berlin,Berlin-Lichtenberg,86,Team_GLoetzsch,Gesine Lotzsch
Loos,Bernhard,CDU/CSU,Bayern,München-Nord,217,,Bernhard Loos
Lucassen,Rüdiger,AfD,Nordrhein-Westfalen,Euskirchen – Rhein-Erft-Kreis II,92,MdB_Lucassen,Rudiger Lucassen
Luczak,Dr. Jan-Marco,CDU/CSU,Berlin,Berlin-Tempelhof-Schöneberg,81,JM_Luczak,Jan-Marco Luczak
Ludwig,Daniela,CDU/CSU,Bayern,Rosenheim,222,DaniLudwigMdB,Daniela Ludwig
Ludwig,Dr. Saskia,CDU/CSU,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,saskialudwig17,Saskia Ludwig
Lühmann,Kirsten,SPD,Niedersachsen,Celle – Uelzen,44,,Kirsten Luhmann
Luksic,Oliver,FDP,Saarland,St. Wendel,298,olliluksic,Oliver Luksic
Lutze,Thomas,Die Linke,Saarland,,,thlutze,Thomas Lutze
Maag,Karin,CDU/CSU,Baden-Württemberg,Stuttgart II,259,MaagKarin,Karin Maag
Maas,Heiko,SPD,Saarland,Saarlouis,297,HeikoMaas,Heiko Maas
