last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter
Hänsel,Heike,Die Linke,Baden-Württemberg,Tübingen,290,
Hagedorn,Bettina,SPD,Schleswig-Holstein,Ostholstein – Stormarn-Nord,9,
Hagl-Kehl,Rita,SPD,Bayern,Deggendorf,227,https://twitter.com/RitaHaglKehl
Hahn,Dr. André,Die Linke,Sachsen,Sächsische Schweiz-Osterzgebirge,158,
Hahn,Florian,CDU/CSU,Bayern,München-Land,221,
Hajduk,Anja,Bündnis 90/Die Grünen,Hamburg,Hamburg-Nord,21,
Hakverdi,Metin,SPD,Hamburg,Hamburg-Bergedorf – Harburg,23,
Hampel,Armin-Paulus,AfD,Niedersachsen,Hameln-Pyrmont – Holzminden,46,
Hanke,Reginald,FDP,Thüringen,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,195,
Harbarth,Dr. Stephan,CDU/CSU  *,,,,
Harder-Kühnel,Mariana Iris,AfD,Hessen,Main-Kinzig – Wetterau II – Schotten,175,
Hardt,Jürgen,CDU/CSU,Nordrhein-Westfalen,Solingen – Remscheid – Wuppertal II,103,https://twitter.com/juergenhardt
Hartmann,Sebastian,SPD,Nordrhein-Westfalen,Rhein-Sieg-Kreis I,97,
Hartmann,Verena,fraktionslos,Sachsen,,,
Hartwig,Dr. Roland,AfD,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,100,https://twitter.com/r_hartwig_afd?lang=de
Haßelmann,Britta,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Bielefeld – Gütersloh II,132,
Hauer,Matthias,CDU/CSU,Nordrhein-Westfalen,Essen III,120,
Haug,Jochen,AfD,Nordrhein-Westfalen,Köln II,94,
Hauptmann,Mark,CDU/CSU,Thüringen,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,196,
Hebner,Martin,AfD,,,,
Heidenblut,Dirk,SPD,Nordrhein-Westfalen,Essen II,119,
Heider,Dr. Matthias,CDU/CSU,,,,
Heidt,Peter,FDP,Hessen,Wetterau I,177,https://twitter.com/PeterHeidtFDP
Heil (Peine),Hubertus,SPD,Niedersachsen,Gifhorn – Peine,45,
Heil,Mechthild,CDU/CSU,Rheinland-Pfalz,Ahrweiler,198,
Heilmann,Thomas,CDU/CSU,,,,
Heinrich (Chemnitz),Frank,CDU/CSU,Sachsen,Chemnitz,162,
Heinrich,Gabriela,SPD,Bayern,Nürnberg-Nord,244,
Held,Marcus,SPD,Rheinland-Pfalz,Worms,206,
Helfrich,Mark,CDU/CSU,Schleswig-Holstein,Steinburg – Dithmarschen Süd,3,
Helling-Plahr,Katrin,FDP,Nordrhein-Westfalen,Hagen – Ennepe-Ruhr-Kreis I,138,https://twitter.com/KatrinHelling
Hellmich,Wolfgang,SPD,Nordrhein-Westfalen,Soest,146,
Hemmelgarn,Udo Theodor,AfD,Nordrhein-Westfalen,Gütersloh I,131,https://twitter.com/UdoHemmelgarn
Hendricks,Dr. Barbara,SPD,Nordrhein-Westfalen,Kleve,112,
Henke,Rudolf,CDU/CSU,Nordrhein-Westfalen,Aachen I,87,
Hennrich,Michael,CDU/CSU,Baden-Württemberg,Nürtingen,262,
Henrichmann,Marc,CDU/CSU,Nordrhein-Westfalen,Coesfeld – Steinfurt II,127,
Herbrand,Markus,FDP,,,,
Herbst,Torsten,FDP,Sachsen,Bautzen I,156,https://twitter.com/torstenherbst
Herdt,Waldemar,AfD,Niedersachsen,Osnabrück-Land,38,
Herrmann,Lars,fraktionslos,,,,
Herzog,Gustav,SPD,Rheinland-Pfalz,Kaiserslautern,209,
Hess,Martin,AfD,Baden-Württemberg,Ludwigsburg,265,https://twitter.com/martin_hess_afd
Hessel,Katja,FDP,,,,
Heßenkemper,Prof. Dr. Heiko,AfD,Sachsen,Mittelsachsen,161,
Heveling,Ansgar,CDU/CSU,Nordrhein-Westfalen,Krefeld I – Neuss II,110,
Hiller-Ohm,Gabriele,SPD,Schleswig-Holstein,Lübeck,11,http://twitter.com/gabihillerohm
Hilse,Karsten,AfD,,,,
Hirte,Christian,CDU/CSU,Thüringen,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,190,http://www.twitter.com/christianhirte
Hirte,Prof. Dr. Heribert,CDU/CSU,Nordrhein-Westfalen,Köln II,94,http://www.twitter.com/HHirte
Hitschler,Thomas,SPD,Rheinland-Pfalz,Südpfalz,211,
Hocker,Dr. Gero Clemens,FDP,,,,
Höchst,Nicole,AfD,Rheinland-Pfalz,Kreuznach,201,
Höferlin,Manuel,FDP,Rheinland-Pfalz,Worms,206,https://twitter.com/ManuelHoeferlin
Högl,Dr. Eva,SPD  *,Berlin,Berlin-Mitte,75,
Höhn,Matthias,Die Linke,Sachsen-Anhalt,Altmark,66,
Hoffmann,Alexander,CDU/CSU,Bayern,Main-Spessart,249,
Hoffmann,Dr. Bettina,Bündnis 90/Die Grünen,Hessen,Schwalm-Eder,170,
Hoffmann,Dr. Christoph,FDP,Baden-Württemberg,Lörrach – Müllheim,282,https://twitter.com/HoffmannForest
Hofreiter,Dr. Anton,Bündnis 90/Die Grünen,Bayern,München-Land,221,
Hohmann,Martin,AfD,Hessen,Fulda,174,
Hollnagel,Dr. Bruno,AfD,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10,
Holm,Leif-Erik,AfD,Mecklenburg-Vorpommern,Vorpommern-Rügen – Vorpommern-Greifswald I,15,https://twitter.com/Leif_Erik_Holm
